,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-1,2,2,2,0,0,-1,0,3,2,2,1,1,2,0,3
1,-1,-1,0,0,-1,3,4,3,1,0,-1,4,2,1,0,0
2,-1,2,-1,1,-1,2,3,-1,-1,0,-1,2,2,3,-1,-1
3,3,-1,0,-1,-1,2,4,0,-1,2,-1,-1,2,1,0,4
4,2,1,2,0,0,3,4,4,2,4,2,-1,-1,-1,-1,-1
5,0,-1,3,3,3,-1,-1,2,2,1,2,0,-1,0,3,-1
6,1,-1,3,2,4,1,0,-1,1,0,1,-1,4,2,4,-1
7,4,0,1,1,0,3,-1,4,3,-1,0,-1,-1,3,1,-1
8,4,4,3,4,4,1,1,-1,-1,-1,4,-1,3,-1,-1,0
9,-1,4,-1,2,4,2,0,-1,-1,4,1,3,1,0,-1,0
10,-1,2,0,-1,-1,1,-1,1,4,0,-1,-1,1,-1,-1,-1
11,0,-1,2,3,2,3,0,3,3,-1,2,-1,-1,1,-1,3
12,2,-1,-1,3,1,4,-1,3,4,-1,-1,-1,2,-1,3,1
13,3,-1,4,3,3,4,-1,1,3,-1,-1,-1,-1,-1,-1,4
14,2,2,-1,4,2,-1,2,1,1,-1,2,3,4,3,0,-1
15,-1,0,-1,1,2,3,3,-1,-1,-1,1,4,4,-1,-1,0
16,2,2,1,3,2,0,0,3,2,3,4,-1,-1,2,1,-1
17,-1,3,-1,2,1,3,1,2,1,2,-1,-1,0,2,-1,-1
18,-1,1,1,4,1,-1,0,-1,4,-1,1,4,4,-1,-1,4
19,0,0,1,4,-1,2,2,-1,-1,0,-1,-1,-1,4,3,2
20,1,4,1,3,1,2,-1,-1,-1,1,3,1,-1,3,1,3
21,-1,1,-1,2,-1,3,2,-1,1,1,0,-1,1,-1,0,1
22,2,-1,-1,4,-1,-1,0,1,2,4,-1,1,0,-1,-1,-1
23,3,1,3,4,3,-1,0,0,-1,1,-1,-1,0,2,-1,3
24,-1,-1,4,-1,1,4,2,4,2,0,-1,3,3,0,-1,1
25,2,-1,-1,4,4,3,-1,3,4,-1,-1,-1,4,0,-1,-1
26,1,-1,-1,-1,2,1,3,1,-1,1,-1,2,-1,0,1,-1
27,-1,3,0,2,-1,-1,1,4,1,3,2,4,4,0,-1,-1
28,0,0,2,-1,-1,3,4,4,0,2,-1,-1,3,-1,2,-1
29,4,4,1,-1,3,-1,1,4,-1,-1,4,-1,0,-1,1,-1
30,2,2,-1,-1,0,4,3,-1,3,3,-1,-1,3,1,0,4
31,0,1,0,1,-1,-1,2,-1,-1,3,1,2,0,0,2,-1
32,-1,1,4,3,1,-1,-1,4,-1,1,-1,-1,4,-1,0,-1
33,-1,2,2,1,-1,-1,2,0,-1,0,4,1,3,-1,-1,-1
34,2,3,-1,-1,3,1,1,1,3,2,-1,3,1,4,-1,3
35,-1,-1,1,-1,4,1,1,-1,-1,3,3,3,0,0,0,0
36,4,-1,4,0,-1,-1,3,-1,-1,3,4,-1,1,1,3,1
37,2,2,0,1,3,4,2,0,0,-1,1,-1,-1,3,2,4
38,-1,-1,0,2,4,1,2,3,1,-1,0,2,3,4,2,-1
39,0,1,0,4,-1,3,-1,1,-1,3,-1,-1,-1,4,-1,-1
40,4,4,1,0,0,4,2,-1,-1,2,-1,2,4,-1,-1,-1
41,4,-1,2,-1,4,1,4,-1,1,0,-1,3,3,-1,4,2
42,1,2,-1,0,4,4,1,3,4,1,4,3,0,4,0,2
43,0,2,3,-1,1,4,3,4,1,-1,4,2,2,-1,3,3
44,4,4,3,2,1,2,0,-1,-1,3,3,3,2,1,-1,-1
45,2,-1,2,-1,-1,-1,0,4,-1,4,-1,-1,-1,0,-1,1
46,1,1,2,4,2,0,2,2,3,2,3,3,0,-1,2,3
47,3,-1,-1,2,2,0,-1,-1,-1,-1,1,1,-1,4,3,-1
48,0,3,1,3,-1,-1,1,4,2,0,-1,2,4,-1,1,0
49,-1,1,3,-1,0,4,4,-1,1,-1,-1,1,4,-1,0,4
50,4,2,-1,4,2,-1,-1,3,2,3,2,-1,-1,2,-1,-1
51,-1,4,-1,1,-1,-1,1,4,1,2,3,2,-1,0,1,-1
52,-1,1,-1,-1,-1,0,-1,1,3,-1,-1,3,1,4,-1,0
53,4,1,-1,3,0,2,0,1,0,-1,-1,-1,3,-1,2,4
54,-1,3,-1,1,0,3,-1,1,0,4,3,-1,1,0,-1,3
55,3,-1,0,3,0,4,3,3,-1,1,0,3,1,-1,2,-1
56,-1,4,4,0,1,1,1,4,3,0,3,0,1,4,1,4
57,0,3,1,4,1,4,-1,-1,-1,2,-1,0,1,-1,0,3
58,4,2,3,4,3,3,1,2,4,4,-1,3,0,2,0,-1
59,2,2,-1,-1,4,3,1,0,-1,2,3,0,1,4,2,-1
60,1,4,3,3,1,-1,1,1,-1,3,1,4,3,1,-1,4
61,-1,3,-1,2,-1,4,-1,-1,3,0,-1,4,1,2,4,0
62,3,-1,-1,-1,-1,4,0,1,-1,-1,4,1,2,0,-1,2
63,0,3,2,4,-1,-1,-1,-1,4,0,1,-1,2,4,1,2
64,-1,1,1,-1,4,3,2,0,0,2,3,2,-1,1,-1,2
65,2,3,2,1,0,3,4,-1,4,4,0,4,-1,1,-1,1
66,-1,2,2,-1,3,4,0,4,-1,2,-1,4,-1,1,1,2
67,4,-1,3,3,0,-1,2,2,1,0,1,-1,-1,3,2,-1
68,-1,2,1,1,-1,4,0,-1,-1,0,-1,-1,-1,1,2,4
69,3,1,3,-1,2,4,1,3,0,2,2,3,-1,1,-1,3
70,1,3,-1,1,4,2,1,-1,2,-1,0,-1,2,-1,0,0
71,4,3,1,-1,2,4,0,4,0,-1,1,4,1,0,0,-1
72,2,-1,4,3,0,0,-1,1,0,1,4,1,0,2,-1,-1
73,0,1,4,2,-1,3,0,0,-1,4,4,2,-1,4,-1,3
74,-1,4,4,3,-1,3,3,-1,-1,3,2,-1,-1,-1,1,-1
75,2,1,3,3,-1,3,0,4,-1,-1,-1,2,-1,0,4,-1
76,-1,-1,3,-1,-1,-1,4,-1,-1,-1,4,4,2,1,-1,-1
77,0,-1,2,0,3,4,1,2,4,3,-1,-1,2,1,2,2
78,0,-1,0,1,0,-1,4,4,2,-1,0,3,2,1,0,3
79,1,-1,-1,2,0,-1,-1,4,-1,4,4,4,1,4,-1,3
80,1,1,0,0,2,2,1,0,-1,4,2,4,3,-1,0,-1
81,-1,1,-1,-1,0,-1,1,2,-1,-1,0,-1,3,-1,-1,1
82,2,-1,2,-1,-1,-1,-1,3,4,0,3,-1,-1,-1,4,0
83,-1,-1,-1,3,3,2,1,0,3,0,4,1,0,2,3,1
84,0,2,-1,0,4,4,2,-1,2,-1,3,0,2,3,4,-1
85,3,2,0,0,1,4,0,2,0,1,-1,0,3,3,4,0
86,0,-1,0,2,4,-1,0,0,2,-1,2,3,3,1,2,-1
87,3,-1,1,3,0,1,4,0,-1,-1,4,-1,-1,1,3,1
88,2,4,4,2,1,1,2,-1,1,2,3,-1,4,3,3,2
