,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0,-1,4,-1,0,3,4,-1,4,4,-1,1,-1,3,4,3
1,0,4,-1,-1,1,0,4,3,3,-1,3,-1,2,0,1,1
2,-1,3,0,2,-1,-1,-1,3,-1,1,3,3,4,0,-1,1
3,-1,4,4,-1,0,-1,-1,3,-1,-1,-1,1,-1,-1,4,-1
4,-1,-1,0,3,-1,4,-1,4,1,3,0,1,1,3,-1,-1
5,-1,0,3,0,2,4,4,3,-1,1,-1,-1,2,-1,0,-1
6,-1,-1,4,1,3,0,0,-1,3,0,-1,2,0,2,3,-1
7,2,0,1,-1,-1,4,1,-1,-1,0,1,0,0,2,-1,1
8,0,3,-1,4,1,-1,4,0,-1,-1,0,3,-1,3,4,3
9,0,3,0,3,-1,3,1,-1,-1,3,3,4,1,1,1,0
10,3,-1,4,3,-1,1,-1,0,0,3,-1,1,1,4,2,2
11,2,4,0,4,0,4,1,3,1,1,-1,-1,4,-1,1,0
12,0,4,-1,3,4,1,0,1,-1,4,1,4,-1,-1,-1,4
13,-1,2,1,-1,4,1,1,2,0,-1,0,3,2,-1,4,-1
14,1,1,4,1,-1,4,2,3,-1,0,0,4,-1,-1,3,0
15,2,2,0,2,-1,4,1,0,0,-1,-1,2,4,2,2,-1
16,3,-1,1,0,2,-1,4,-1,-1,3,2,-1,0,3,0,1
17,-1,1,-1,-1,-1,-1,-1,-1,0,-1,3,3,-1,4,-1,-1
18,4,2,-1,-1,-1,3,0,1,2,-1,3,1,2,0,1,3
19,-1,-1,1,3,1,0,0,0,2,-1,3,2,3,2,3,0
20,1,-1,1,4,0,-1,-1,1,2,0,3,1,1,4,-1,2
21,0,-1,-1,-1,3,0,3,1,3,3,3,4,2,-1,-1,-1
22,-1,3,4,-1,4,-1,4,4,0,-1,4,-1,-1,-1,4,-1
23,1,-1,-1,3,2,1,-1,4,-1,-1,3,-1,3,3,-1,-1
24,-1,3,2,1,3,1,-1,-1,-1,-1,0,-1,4,-1,0,-1
25,-1,-1,3,4,4,-1,1,0,-1,2,1,-1,-1,-1,-1,-1
26,-1,0,-1,4,4,-1,3,-1,-1,4,0,-1,-1,0,0,4
27,1,2,0,1,0,-1,4,1,4,-1,-1,2,0,0,4,0
28,1,3,-1,1,4,3,4,2,3,-1,-1,3,-1,2,-1,-1
29,1,2,-1,-1,4,-1,1,-1,3,-1,3,4,1,4,-1,4
30,-1,2,2,0,-1,-1,0,4,1,4,-1,2,0,4,-1,4
31,2,-1,-1,0,3,-1,2,0,3,3,2,2,-1,-1,-1,-1
32,3,-1,-1,4,2,0,-1,2,4,-1,2,0,-1,2,3,1
33,-1,4,-1,-1,4,0,-1,1,2,-1,2,1,-1,2,3,2
34,-1,3,0,-1,3,1,4,0,-1,0,-1,2,-1,2,3,-1
35,3,-1,2,2,3,-1,1,2,1,-1,-1,-1,3,1,1,-1
36,4,-1,-1,0,1,-1,0,-1,1,0,-1,0,0,2,0,0
37,3,-1,3,1,-1,2,-1,-1,3,3,3,2,0,4,3,0
38,-1,0,4,2,3,1,4,3,4,4,-1,2,4,3,-1,4
39,4,2,2,1,-1,2,-1,-1,4,-1,0,0,-1,4,3,3
40,2,-1,-1,2,2,3,0,1,0,-1,3,-1,-1,-1,2,-1
41,-1,-1,1,2,0,3,-1,-1,-1,4,4,3,-1,3,0,0
42,4,-1,0,1,0,-1,0,1,3,0,2,-1,2,4,0,1
43,3,-1,4,3,-1,1,1,3,0,-1,1,4,4,1,3,3
44,0,4,2,3,-1,-1,-1,-1,2,-1,-1,2,-1,-1,4,2
45,2,-1,3,0,3,1,-1,2,4,-1,-1,-1,-1,1,2,1
46,-1,-1,0,4,3,1,1,-1,1,1,-1,0,1,2,0,2
47,0,0,4,-1,-1,4,4,4,-1,4,2,2,2,1,4,4
48,0,1,-1,1,1,1,0,-1,-1,3,3,1,4,3,0,-1
49,-1,1,4,3,-1,2,0,-1,0,4,0,2,-1,-1,3,0
50,-1,-1,2,2,0,-1,1,0,-1,-1,3,3,-1,-1,-1,2
51,0,2,0,-1,-1,-1,4,-1,0,1,-1,4,-1,0,1,-1
52,3,0,-1,-1,3,4,-1,-1,-1,-1,4,4,-1,1,-1,0
53,3,1,-1,-1,0,3,0,4,4,-1,4,1,4,-1,2,-1
54,4,4,3,3,-1,-1,-1,2,2,0,3,-1,3,1,-1,3
55,2,3,2,-1,4,-1,0,-1,1,4,0,0,-1,0,1,-1
56,4,-1,-1,1,-1,-1,3,3,-1,2,-1,4,1,3,3,-1
57,-1,3,1,3,-1,-1,3,-1,0,1,0,2,3,-1,-1,-1
58,1,-1,3,2,0,-1,-1,4,3,4,3,-1,1,3,-1,1
59,-1,1,-1,3,2,4,2,-1,2,4,-1,3,0,3,2,2
