,EDFA
0,19
1,23
2,20
3,24
4,23
5,19
6,21
7,25
8,19
9,24
10,25
11,19
12,23
13,20
14,19
15,22
16,19
17,19
18,21
19,23
20,21
21,18
22,20
23,25
24,21
25,23
26,20
27,21
28,18
29,23
30,19
31,24
32,22
33,24
34,18
35,23
36,23
37,22
38,20
39,19
40,18
41,20
42,20
43,18
44,23
45,24
46,19
47,23
48,21
49,24
50,23
51,21
52,21
53,25
54,23
55,25
56,20
57,22
58,21
59,23
60,25
61,21
62,24
63,19
64,24
65,20
66,21
67,25
68,19
69,22
70,18
71,25
72,23
73,25
74,23
75,20
76,21
77,21
78,20
79,20
80,19
81,18
82,20
83,20
84,19
85,24
86,22
87,24
88,24
89,23
90,18
91,22
92,22
93,19
94,18
95,25
96,23
97,24
98,20
99,22
100,21
101,19
102,25
103,24
104,21
105,18
106,18
107,18
108,20
109,21
110,25
111,25
112,20
113,21
114,24
115,25
116,23
117,20
118,24
119,21
120,19
121,19
122,19
123,22
124,25
125,23
126,20
127,25
128,18
129,19
130,19
131,20
132,21
133,20
134,18
135,21
136,19
137,19
138,23
139,20
140,20
141,23
142,23
143,19
144,18
145,24
146,24
147,24
148,23
149,20
150,19
151,19
152,19
153,18
154,18
155,19
156,18
157,24
158,25
159,18
160,20
161,21
162,24
163,18
164,18
165,25
166,24
167,20
168,24
169,21
170,22
171,18
172,20
173,22
174,22
175,22
176,18
177,19
178,19
179,21
180,24
181,25
182,24
183,18
184,21
185,24
186,23
187,20
188,22
189,22
190,22
191,23
192,20
193,23
194,22
195,18
196,19
197,18
198,24
199,24
200,24
201,19
202,18
203,19
204,24
205,25
206,22
207,19
208,18
209,18
210,23
211,21
212,19
213,22
214,23
215,18
216,18
217,19
218,25
219,24
220,24
221,25
222,21
223,24
224,25
225,21
226,22
227,20
228,25
229,25
230,24
231,23
232,21
233,19
234,20
235,22
236,22
237,18
238,24
239,18
240,19
241,19
242,24
243,20
244,22
245,20
246,18
247,24
248,21
249,23
250,20
251,23
252,22
253,19
254,22
255,23
256,25
257,18
258,22
259,20
260,19
261,18
262,22
263,22
264,20
265,25
266,21
267,23
268,21
269,19
270,19
271,20
272,23
273,24
274,18
275,20
276,22
277,23
278,20
279,24
280,19
281,25
282,18
283,21
284,25
285,21
286,21
287,22
288,24
289,25
290,23
291,20
292,18
293,22
294,23
295,20
296,20
297,19
298,20
299,25
300,21
301,24
302,19
303,18
304,18
305,23
306,22
307,19
308,20
309,22
310,25
311,22
312,21
313,20
314,23
315,23
316,18
317,21
318,18
319,25
320,21
321,21
322,24
323,19
324,24
325,22
326,22
327,22
328,19
329,24
330,18
331,25
332,22
333,23
334,18
335,18
336,20
337,20
338,18
339,21
340,25
341,25
342,22
343,21
344,20
345,23
346,20
347,19
348,20
349,22
350,24
351,22
352,22
353,21
354,18
355,20
356,25
357,23
358,20
359,24
360,21
361,18
362,21
363,20
364,24
365,23
366,24
367,19
368,23
369,23
370,21
371,24
372,21
373,19
374,21
375,24
376,23
377,25
378,21
379,21
380,18
381,18
382,19
383,20
384,18
385,20
386,24
387,21
388,18
389,18
390,25
391,23
392,18
393,25
394,21
395,22
396,21
397,24
398,22
399,18
400,21
401,21
402,18
403,24
404,22
405,23
406,18
407,18
408,19
409,18
410,21
411,24
412,19
413,24
414,24
415,23
416,22
417,22
418,24
419,20
420,21
421,20
422,24
423,18
424,22
425,24
426,21
427,25
428,24
429,21
430,25
431,24
432,23
433,19
434,24
435,21
436,23
437,20
438,21
439,19
440,25
441,22
442,25
443,22
444,18
445,18
446,22
447,20
448,22
449,18
450,21
451,24
452,20
453,19
454,21
455,20
456,20
457,18
458,22
459,21
460,24
461,24
462,20
463,25
464,19
465,24
466,25
467,24
468,24
469,23
470,19
471,20
472,24
473,21
474,21
475,25
476,20
477,23
478,24
479,18
480,21
481,19
482,18
483,18
484,24
485,21
486,21
487,23
488,19
489,18
490,20
491,20
492,25
493,25
494,23
495,22
496,25
497,23
498,19
499,25
500,25
501,18
502,19
503,25
504,19
505,23
506,18
507,24
508,18
509,24
510,21
511,21
512,22
513,20
514,25
515,22
516,21
517,24
518,18
519,19
520,22
521,19
522,23
523,23
524,22
525,19
526,24
527,20
528,20
529,21
530,21
531,24
532,25
533,20
534,25
535,20
536,23
537,19
538,20
539,18
540,24
541,22
542,20
543,21
544,23
545,19
546,24
547,20
548,22
549,23
550,23
551,19
552,20
553,18
554,24
555,25
556,18
557,22
558,25
559,18
560,19
561,21
562,24
563,23
564,22
565,18
566,23
567,18
568,18
569,19
570,22
571,19
572,20
573,25
574,22
575,18
576,20
577,20
578,25
579,20
580,20
581,21
582,20
583,24
584,20
585,25
586,20
587,21
588,23
589,25
590,20
591,25
592,24
593,18
594,21
595,20
596,18
597,22
598,25
599,25
600,25
601,25
602,22
603,21
604,20
605,21
606,19
607,22
608,23
609,19
610,20
611,23
612,20
613,18
614,19
615,23
616,21
617,21
618,20
619,22
620,24
621,25
622,24
623,19
624,24
625,21
626,24
627,25
628,19
629,22
630,22
631,23
632,23
633,23
634,18
635,24
636,23
637,22
638,19
639,18
640,22
641,19
642,23
643,22
644,23
645,25
646,25
647,18
648,21
649,20
650,21
651,20
652,24
653,18
654,25
655,25
656,22
657,21
658,22
659,19
660,25
661,18
662,19
663,19
664,24
665,23
666,25
667,20
668,25
669,18
670,18
671,18
672,20
673,24
674,22
675,23
676,25
677,20
678,19
679,19
680,21
681,19
682,21
683,19
684,19
685,18
686,22
687,22
688,22
689,21
690,19
691,19
692,20
693,21
694,25
695,24
696,25
697,24
698,18
699,18
700,23
701,19
702,21
703,22
704,22
705,22
706,25
707,20
708,23
709,19
710,18
711,20
712,20
713,23
714,21
715,18
716,24
717,25
718,25
719,20
720,23
721,24
722,20
723,18
724,19
725,19
726,20
727,22
728,25
729,21
730,21
731,23
732,20
733,25
734,23
735,18
736,19
737,21
738,22
739,24
740,23
741,24
742,23
743,22
744,24
745,23
746,22
747,18
748,22
749,24
