,0,1
0,23,21
1,23,24
2,23,25
3,19,19
4,18,25
5,21,19
6,25,24
7,19,18
8,22,19
9,21,20
10,24,25
11,25,24
12,18,18
13,23,20
14,22,20
15,23,21
16,25,20
17,25,23
18,19,25
19,23,18
20,24,20
21,22,25
22,22,19
23,18,19
24,24,21
25,18,24
26,18,21
27,23,19
28,19,18
29,23,21
30,21,24
31,23,23
32,25,25
33,25,24
34,25,20
35,22,24
36,20,25
37,25,20
38,24,18
39,24,25
40,20,18
41,20,19
42,19,23
43,18,19
44,22,22
45,24,19
46,23,23
47,18,23
48,25,21
49,24,21
50,23,20
51,20,25
52,22,18
53,20,24
54,18,22
55,23,23
56,22,24
57,19,19
58,22,22
59,24,18
60,21,20
61,18,18
62,23,22
63,18,25
64,19,19
65,18,19
66,23,25
67,20,23
68,24,25
69,19,21
70,19,18
71,18,21
72,25,23
73,24,24
74,18,20
75,19,23
76,24,19
77,18,24
78,20,18
79,19,19
80,19,19
81,23,20
82,20,24
83,24,20
84,24,24
85,25,20
86,19,20
87,18,23
88,21,20
89,25,25
90,23,21
91,25,23
92,19,24
93,24,23
94,24,19
95,22,19
96,22,18
97,24,25
98,20,23
99,18,22
100,18,20
101,19,18
102,19,23
103,20,21
104,24,22
105,19,20
106,21,23
107,19,21
108,23,19
109,23,25
110,25,19
111,25,20
112,18,24
113,25,22
114,19,20
115,21,24
116,23,23
117,18,23
118,25,23
119,18,21
120,18,24
121,24,24
122,23,18
123,21,21
124,24,18
125,18,22
126,19,23
127,25,23
128,23,24
129,24,24
130,20,20
131,20,22
132,24,18
133,21,25
134,21,19
135,19,19
136,20,19
137,23,22
138,24,25
139,19,23
140,18,22
141,24,24
142,20,18
143,25,25
144,23,20
145,22,25
146,25,19
147,18,22
148,25,21
149,19,25
150,19,19
151,25,23
152,18,20
153,22,20
154,19,24
155,24,24
156,22,18
157,20,23
158,22,25
159,23,24
160,18,20
161,18,21
162,24,24
163,23,24
164,23,22
165,23,21
166,18,21
167,22,18
168,23,18
169,22,23
170,19,18
171,22,25
172,19,25
173,18,19
174,23,24
175,18,24
176,18,21
177,18,24
178,22,18
179,18,21
180,23,23
181,25,22
182,21,22
183,20,24
184,21,24
185,25,18
186,21,20
187,23,19
188,19,22
189,23,21
190,22,24
191,24,18
192,24,23
193,20,23
194,24,25
195,25,23
196,22,19
197,20,19
198,18,20
199,24,25
200,24,23
201,23,23
202,23,20
203,24,25
204,20,24
205,23,24
206,23,22
207,18,22
208,18,23
209,20,23
210,20,21
211,23,22
212,22,21
213,18,25
214,23,24
215,19,19
