,0,1,2
0,25,21,24
1,24,20,22
2,21,19,25
3,25,23,24
4,19,23,19
5,18,22,23
6,25,24,25
7,24,24,25
8,18,18,19
9,24,21,23
10,24,21,19
11,18,22,22
12,20,18,23
13,20,18,20
14,19,18,23
15,21,23,23
16,19,18,20
17,21,25,20
18,25,20,20
19,24,24,18
20,18,18,23
21,23,18,18
22,25,22,25
23,21,21,20
24,20,23,24
25,25,25,23
26,20,23,22
27,21,22,20
28,20,25,18
29,25,25,23
30,18,25,25
31,24,20,22
32,23,21,21
33,18,21,22
34,25,19,18
35,22,19,20
36,19,19,21
37,23,18,18
38,20,24,22
39,19,25,23
40,22,19,19
41,25,18,21
42,25,19,19
43,20,19,24
44,21,19,24
45,24,20,22
46,24,19,18
47,19,21,21
48,22,21,19
49,18,22,25
50,25,20,21
51,23,19,23
52,18,23,22
53,25,25,19
54,19,19,25
55,19,20,18
56,21,19,18
57,23,19,20
58,18,21,24
59,21,18,24
60,19,22,19
61,20,19,21
62,19,18,21
63,18,23,19
64,21,25,24
65,25,21,22
66,25,22,21
67,24,21,24
68,19,23,22
69,20,23,23
70,23,22,23
71,21,21,22
72,24,25,19
73,21,19,25
74,18,20,22
75,20,24,18
76,24,24,25
77,22,19,23
78,22,19,24
79,25,22,23
80,24,21,24
81,18,19,22
82,22,18,25
83,23,23,20
84,20,23,19
85,18,19,20
86,22,20,19
87,19,18,23
88,24,24,25
89,21,24,23
90,20,24,19
91,25,22,19
92,20,22,22
93,25,22,20
94,18,24,18
95,20,22,24
96,18,20,25
97,23,20,20
98,25,19,21
99,22,21,25
100,25,22,21
101,19,19,25
102,22,23,19
103,23,19,24
104,25,24,24
105,23,23,21
106,20,20,21
107,21,24,22
108,25,20,21
109,23,21,19
110,22,24,24
111,25,20,23
112,23,22,20
113,24,24,20
114,20,23,24
115,18,22,23
116,19,22,24
117,18,23,23
118,23,23,23
119,19,25,24
120,19,23,25
121,24,18,18
122,19,22,19
123,22,22,19
124,18,23,24
125,18,18,22
126,20,21,24
127,20,24,23
128,20,20,21
129,22,25,20
130,20,21,18
131,25,25,19
132,22,20,25
133,23,22,19
134,19,18,19
135,19,22,18
136,24,25,22
137,19,18,20
138,20,24,19
139,24,23,19
140,24,23,19
141,23,23,24
142,18,21,21
143,18,18,18
144,19,24,22
145,21,24,19
146,20,23,20
147,20,19,20
148,18,25,24
149,25,21,21
150,21,25,20
151,18,23,25
152,21,25,18
153,23,20,21
154,22,19,19
155,24,25,19
156,24,20,19
157,21,19,21
158,20,19,22
159,19,18,18
160,22,20,21
161,22,20,25
