,0,1,2,3
0,18,25,19,18
1,21,21,21,25
2,23,25,21,23
3,24,24,18,22
4,23,22,25,21
5,18,19,23,25
6,25,24,22,20
7,19,21,18,23
8,20,18,22,24
9,22,19,19,20
10,25,20,19,19
11,22,21,22,20
12,25,24,19,22
13,19,22,23,23
14,22,19,19,18
15,18,25,25,25
16,22,25,20,23
17,23,25,25,22
18,21,20,19,25
19,24,22,22,23
20,18,20,25,20
21,18,22,18,20
22,19,23,22,25
23,23,19,19,20
24,20,21,20,25
25,22,18,25,25
26,21,20,18,25
27,23,22,19,22
28,20,24,24,20
29,19,23,18,23
30,24,22,20,18
31,21,18,20,20
32,24,20,24,22
33,23,23,19,24
34,21,20,18,24
35,18,22,22,19
36,19,25,24,24
37,23,21,18,25
38,21,19,22,25
39,23,23,21,22
40,22,24,20,25
41,19,24,21,22
42,23,21,23,21
43,25,22,19,25
44,23,19,19,23
45,19,21,23,22
46,22,24,22,20
47,23,25,21,18
48,20,21,19,18
49,21,23,23,23
50,20,25,25,20
51,25,23,25,23
52,20,22,21,22
53,21,24,21,25
54,25,18,19,18
55,18,22,21,25
56,22,19,19,19
57,22,22,24,23
58,23,18,21,24
59,23,18,19,20
60,24,22,25,20
61,24,19,18,20
62,18,21,24,22
63,22,24,24,25
64,23,24,23,19
65,19,19,19,21
66,20,22,24,18
67,24,25,21,21
68,22,23,24,20
69,20,25,21,22
70,22,20,22,19
71,25,23,24,24
72,20,20,21,21
73,22,18,23,22
74,23,20,24,18
75,18,20,25,24
76,25,19,20,23
77,18,18,19,23
78,22,18,20,18
79,18,23,22,25
80,24,25,23,24
81,19,21,25,21
82,18,22,24,18
83,23,22,23,24
84,22,21,23,19
85,22,19,20,21
86,25,22,18,22
87,20,23,19,20
88,25,18,19,18
89,23,21,23,24
90,19,23,21,18
91,22,18,21,18
92,19,20,21,19
93,20,23,24,25
94,18,18,21,20
95,21,18,20,22
96,20,24,18,23
97,20,18,23,20
98,21,20,20,24
99,21,24,24,20
100,18,24,19,19
101,24,18,22,24
102,19,24,19,19
103,21,19,25,21
104,19,23,23,22
105,24,24,18,19
106,18,22,22,22
107,24,20,22,25
108,18,23,21,23
109,25,18,18,23
110,24,20,21,25
111,23,21,18,22
112,21,19,18,18
113,24,19,22,20
114,25,22,20,21
