,0,1,2,3,4
0,23,20,22,20,23
1,24,23,19,24,19
2,20,25,18,22,23
3,19,18,18,25,24
4,19,18,24,18,21
5,25,22,21,21,23
6,24,20,24,24,21
7,24,24,21,25,24
8,22,19,18,21,18
9,21,25,23,20,18
10,19,25,19,19,19
11,24,20,20,19,25
12,23,24,19,24,21
13,20,23,18,19,23
14,18,24,18,25,21
15,21,25,20,19,21
16,21,18,18,25,20
17,23,21,21,24,18
18,25,21,19,19,23
19,24,25,19,24,23
20,18,19,19,19,18
21,23,19,24,22,22
22,21,21,25,23,25
23,24,20,20,23,24
24,20,18,25,23,23
25,23,19,20,21,18
26,25,18,21,20,22
27,19,22,19,21,23
28,22,18,21,21,22
29,22,19,18,22,20
30,18,23,21,24,19
31,23,20,24,22,19
32,25,21,18,20,25
33,18,24,21,24,18
34,19,22,18,20,20
35,25,25,21,20,24
36,25,21,25,21,18
37,23,24,24,25,23
38,25,19,21,25,24
39,18,25,24,23,20
40,24,22,24,22,19
41,19,20,18,19,19
42,20,23,24,18,25
43,23,21,20,21,22
44,24,20,25,18,20
45,22,19,19,21,22
46,22,21,18,24,20
47,19,23,20,24,20
48,25,21,21,18,23
49,18,22,19,22,24
50,19,19,19,22,21
51,19,20,19,24,21
52,20,24,18,24,21
53,18,19,25,23,18
54,18,23,19,21,21
55,19,20,22,19,25
56,19,22,20,23,23
57,25,25,25,20,20
58,20,20,19,25,19
59,21,18,22,20,21
60,24,24,21,23,21
61,21,19,21,20,20
62,21,25,23,23,19
63,19,19,20,23,20
64,23,19,23,21,21
65,25,22,19,25,20
66,22,22,23,25,22
67,24,21,23,22,24
68,18,19,24,24,21
69,18,22,22,19,18
70,23,21,21,18,24
71,21,25,20,23,19
72,20,23,24,22,24
73,21,20,19,23,21
74,24,22,24,25,20
75,19,22,18,22,21
76,25,25,25,23,25
77,24,25,25,20,25
78,19,22,20,24,21
79,21,23,19,23,25
80,21,21,20,21,23
81,20,22,22,21,21
82,22,25,20,22,25
83,19,21,19,25,20
84,24,20,19,25,18
85,21,18,21,18,24
86,20,21,22,22,22
87,19,24,20,22,23
88,22,19,22,19,25
89,24,22,23,19,23
90,21,23,18,21,18
91,22,21,18,24,20
92,25,20,19,19,24
93,21,24,20,25,18
94,18,18,18,21,23
95,18,21,23,23,24
96,21,19,24,24,23
97,20,18,23,25,21
98,22,24,25,22,18
99,18,23,25,21,19
100,18,24,18,22,21
101,19,24,23,18,21
102,25,20,24,21,18
103,23,21,24,25,24
104,21,25,20,18,24
105,25,19,23,22,22
106,21,23,18,18,22
107,18,19,23,18,24
108,21,18,22,25,25
109,19,21,19,22,21
