,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-1,-1,3,2,1,1,0,-1,-1,-1,1,3,3,0,-1,3
1,-1,0,-1,3,-1,-1,0,3,4,4,1,2,-1,1,2,-1
2,-1,0,3,1,-1,3,-1,0,3,-1,-1,-1,-1,4,0,-1
3,0,-1,0,-1,3,-1,4,3,3,0,-1,1,0,-1,0,0
4,0,4,0,3,-1,-1,3,3,0,0,2,0,-1,0,2,-1
5,1,1,4,3,4,0,4,-1,2,-1,4,0,3,0,3,1
6,-1,-1,0,0,1,2,0,0,4,1,3,-1,0,3,-1,4
7,3,1,3,2,2,1,0,-1,4,2,-1,1,2,-1,1,4
8,-1,0,2,0,-1,1,0,0,1,-1,-1,-1,-1,-1,4,-1
9,-1,2,-1,-1,3,1,4,-1,1,1,4,4,-1,1,-1,2
10,-1,2,3,3,0,-1,4,-1,-1,4,-1,-1,4,3,2,4
11,-1,0,0,2,3,-1,0,-1,0,-1,-1,-1,-1,-1,0,-1
12,3,3,-1,2,0,-1,0,-1,-1,-1,1,0,4,0,2,-1
13,4,4,-1,-1,1,-1,4,-1,0,1,4,4,0,3,0,4
14,0,0,2,3,2,-1,-1,-1,-1,1,1,3,4,1,3,0
15,1,4,-1,2,-1,4,-1,1,0,2,1,2,-1,3,3,-1
16,1,0,4,2,2,0,4,4,-1,-1,3,-1,4,-1,-1,1
17,-1,3,0,4,4,-1,-1,2,1,3,-1,-1,1,0,0,-1
18,0,4,-1,-1,4,4,0,3,1,-1,-1,3,0,2,3,-1
19,3,3,3,0,-1,1,4,-1,1,4,-1,2,2,-1,2,-1
20,2,2,2,0,3,-1,-1,2,1,0,1,0,0,2,-1,0
21,3,2,2,1,4,1,-1,-1,-1,-1,1,-1,2,2,1,1
22,-1,-1,0,0,2,3,2,-1,4,2,0,4,3,3,0,-1
23,-1,0,-1,0,2,2,4,0,4,3,3,1,1,4,0,2
24,0,-1,2,2,2,3,1,-1,2,0,-1,2,-1,-1,2,2
25,2,3,2,-1,-1,-1,3,4,2,1,3,2,1,0,2,3
26,-1,4,2,-1,-1,2,-1,1,0,-1,-1,-1,0,-1,4,-1
27,3,4,1,3,-1,4,0,0,1,2,4,0,-1,-1,-1,3
28,-1,1,2,2,-1,-1,0,-1,4,3,1,4,2,1,-1,4
29,1,-1,0,-1,0,4,1,2,-1,-1,4,1,0,4,-1,-1
30,-1,4,3,-1,-1,1,-1,-1,-1,-1,0,2,0,1,-1,-1
