,0,1,2,3,4,5
0,25,22,22,22,22,24
1,18,23,24,21,25,22
2,23,19,22,18,22,23
3,23,20,18,22,20,20
4,24,18,23,19,18,25
5,21,24,19,24,24,24
6,24,25,22,25,19,21
7,25,20,24,18,25,23
8,25,19,19,19,21,20
9,20,20,19,22,22,24
10,24,23,18,18,24,19
11,23,25,18,22,20,22
12,24,21,21,25,18,21
13,25,21,22,19,22,25
14,19,25,22,25,25,20
15,24,18,22,25,21,24
16,24,24,25,24,25,23
17,19,25,24,18,21,20
18,21,19,25,20,19,18
19,22,19,22,20,25,21
20,18,19,21,25,24,22
21,22,24,20,24,19,20
22,22,22,23,23,23,24
23,21,21,23,22,21,20
24,24,24,20,19,22,18
25,20,21,22,18,18,20
26,18,22,20,22,18,19
27,23,19,25,24,18,22
28,19,20,19,25,21,18
29,25,20,24,22,18,25
30,23,21,24,18,22,25
31,23,18,20,25,21,25
32,18,24,21,23,23,22
33,24,20,25,18,18,21
34,22,18,20,22,20,23
35,23,24,19,24,22,21
36,23,23,20,23,18,18
37,24,25,18,21,25,22
38,25,25,23,23,23,18
39,25,21,22,18,20,21
40,25,20,21,22,21,22
41,19,20,21,18,19,20
42,20,23,20,25,19,24
43,22,18,20,23,25,22
44,21,24,25,25,23,18
45,21,24,18,20,20,18
46,21,20,21,19,23,24
47,20,20,20,20,18,25
48,24,20,24,18,21,23
49,18,21,24,21,22,21
50,18,23,24,20,24,23
51,20,22,23,25,21,24
52,25,24,24,24,20,25
53,20,24,20,22,24,19
54,21,18,21,25,24,18
55,21,18,18,22,19,21
56,20,21,19,24,24,20
57,20,24,20,24,21,25
58,19,18,18,19,22,24
59,18,21,25,22,23,22
60,22,21,23,25,22,20
61,23,21,23,21,23,22
62,21,21,19,25,20,18
63,22,22,20,23,19,21
64,22,19,20,19,25,19
65,25,18,19,23,19,22
66,21,21,19,19,19,24
67,23,18,21,19,24,19
68,19,25,24,23,21,25
69,22,21,22,22,23,21
70,23,18,24,20,24,20
71,19,20,25,23,19,18
72,25,18,25,25,24,19
73,24,22,21,23,23,24
74,21,22,22,25,25,20
75,24,19,23,22,21,23
76,21,20,21,22,21,20
77,19,21,25,25,24,25
78,20,20,24,25,19,19
79,22,25,21,20,21,23
80,21,25,22,24,20,23
81,19,19,20,22,23,21
82,18,22,20,19,23,23
83,18,19,19,23,24,18
84,23,18,18,19,25,20
85,22,19,23,23,18,24
86,20,23,20,25,25,24
87,23,23,22,20,20,23
88,24,25,23,18,23,18
89,21,21,18,19,24,19
90,23,23,25,20,21,23
91,22,18,18,20,19,25
92,19,20,22,24,19,25
