,0,1
0,22,20
1,21,21
2,25,21
3,23,18
4,25,23
5,25,22
6,25,23
7,21,18
8,20,22
9,22,25
10,21,23
11,18,23
12,19,23
13,19,19
14,21,21
15,20,22
16,19,23
17,25,25
18,23,19
19,19,24
20,22,22
21,21,18
22,18,21
23,20,22
24,25,19
25,22,18
26,22,24
27,18,20
28,21,20
29,23,20
30,24,19
31,22,21
32,20,18
33,24,21
34,22,18
35,21,25
36,25,21
37,21,24
38,19,24
39,22,24
40,25,22
41,19,20
42,24,21
43,25,24
44,23,20
45,25,24
46,23,19
47,21,21
48,18,20
49,19,23
50,19,21
51,24,20
52,24,20
53,19,22
54,25,20
55,24,24
56,21,20
57,19,20
58,22,19
59,25,23
