,0,1,2,3
0,24,21,23,22
1,19,20,20,18
2,20,22,19,22
3,23,24,21,24
4,18,25,24,19
5,23,20,19,21
6,24,18,20,20
7,24,25,20,18
8,22,20,22,19
9,23,19,21,25
10,19,21,23,24
11,23,20,18,25
12,21,19,21,19
13,22,22,18,25
14,25,23,24,25
15,23,22,18,22
16,23,24,21,22
17,20,20,25,22
18,22,20,18,23
19,25,21,19,21
20,22,24,24,23
21,22,18,24,23
22,22,21,22,20
23,20,24,24,20
24,21,24,20,22
25,19,25,19,22
26,22,25,20,21
27,22,18,24,24
28,25,20,24,24
29,22,19,18,22
30,25,22,22,25
31,24,20,25,21
32,19,25,18,18
33,22,21,21,20
34,20,18,23,21
35,24,19,20,25
36,19,25,21,20
37,24,18,19,25
38,21,18,21,22
39,20,18,24,21
40,24,18,24,24
41,23,21,19,20
42,23,25,18,23
43,23,23,19,22
44,25,21,24,21
45,22,24,25,21
46,20,21,19,19
47,25,23,22,24
48,22,23,19,21
49,20,19,22,21
50,24,24,25,20
51,25,19,23,25
52,20,19,19,22
53,18,23,18,18
54,23,18,20,18
55,24,18,22,20
56,24,18,22,19
57,21,19,22,24
58,24,24,18,25
59,21,18,21,24
