,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,1,-1,4,3,0,-1,3,4,3,1,2,4,1,-1,0,2
1,4,0,2,1,-1,-1,0,2,1,4,1,4,4,-1,0,-1
2,-1,-1,-1,0,0,3,4,-1,1,1,-1,0,2,-1,4,-1
3,4,-1,3,4,4,-1,0,1,2,0,4,3,2,0,2,2
4,0,1,0,2,0,0,3,-1,1,-1,4,1,4,2,2,1
5,1,2,-1,1,2,1,-1,3,2,-1,4,4,-1,-1,3,4
6,1,1,-1,3,0,-1,0,1,-1,-1,0,-1,-1,0,-1,1
7,1,4,2,3,-1,-1,4,-1,2,-1,-1,-1,-1,0,1,-1
8,-1,-1,3,2,-1,4,0,1,1,3,0,4,2,3,-1,-1
9,4,0,0,-1,-1,-1,-1,1,-1,1,1,-1,4,3,0,-1
10,-1,1,-1,0,-1,-1,-1,-1,2,4,4,-1,4,2,2,4
11,-1,3,1,0,2,1,1,2,2,-1,3,-1,-1,2,-1,3
12,3,-1,-1,3,0,-1,3,-1,-1,-1,4,0,1,3,3,-1
13,0,1,0,0,0,-1,4,2,-1,2,2,4,4,4,1,1
14,-1,3,-1,2,0,3,3,4,3,4,4,-1,4,3,-1,0
15,3,3,3,1,0,3,0,2,3,4,1,-1,4,3,0,3
16,0,3,4,1,-1,2,3,0,1,1,3,2,3,4,-1,4
17,-1,2,-1,-1,0,0,2,4,-1,0,1,4,-1,-1,0,3
18,-1,-1,-1,0,0,-1,1,3,2,0,4,-1,2,0,-1,1
19,0,-1,2,-1,-1,-1,-1,3,-1,3,4,2,1,1,1,0
20,-1,-1,1,3,2,-1,2,-1,0,-1,4,3,3,1,-1,3
21,2,2,-1,-1,4,2,-1,1,-1,-1,3,2,-1,2,4,-1
22,3,-1,1,-1,4,4,-1,-1,-1,-1,4,4,-1,4,4,-1
23,1,-1,4,3,1,1,4,1,-1,4,-1,-1,-1,0,4,-1
24,4,-1,3,-1,0,4,-1,-1,0,-1,-1,-1,2,-1,1,4
25,-1,2,-1,4,-1,2,-1,3,1,3,3,2,-1,2,2,0
26,-1,-1,2,2,0,1,-1,4,4,0,-1,-1,2,1,-1,-1
27,-1,2,0,1,-1,4,-1,2,-1,3,4,-1,4,0,-1,2
28,3,-1,2,-1,3,0,-1,-1,4,-1,0,0,-1,1,2,-1
29,4,4,-1,1,2,3,2,4,0,-1,1,-1,2,1,0,3
30,-1,-1,2,0,2,1,4,3,2,3,0,-1,0,3,-1,-1
31,0,-1,4,1,-1,-1,4,2,-1,3,1,-1,-1,-1,1,4
32,-1,-1,3,2,-1,-1,0,-1,-1,1,-1,-1,-1,4,1,-1
33,3,1,3,0,4,-1,-1,1,-1,-1,4,-1,2,-1,1,-1
34,-1,-1,-1,1,1,3,1,1,-1,1,4,-1,3,4,-1,3
35,0,1,1,3,1,3,1,-1,0,0,-1,2,0,-1,1,-1
36,0,-1,0,1,0,0,3,4,1,-1,-1,2,-1,-1,4,3
37,3,-1,-1,1,3,-1,-1,-1,-1,1,0,4,-1,3,-1,1
38,-1,0,1,-1,0,-1,-1,1,2,3,4,3,-1,-1,3,4
39,1,1,4,-1,-1,2,-1,4,0,0,-1,-1,0,-1,3,1
40,-1,2,1,-1,1,0,1,-1,4,0,-1,1,-1,-1,2,-1
41,2,1,2,-1,3,4,-1,-1,2,3,2,-1,-1,-1,-1,2
42,0,1,4,2,4,0,4,0,3,0,-1,2,1,0,1,4
43,0,0,2,0,0,-1,-1,2,1,-1,3,1,-1,2,1,-1
44,1,1,1,0,0,1,3,3,-1,-1,4,0,-1,0,3,-1
45,-1,-1,2,4,4,4,1,4,-1,-1,1,2,-1,3,0,0
46,1,1,-1,3,0,2,-1,3,0,4,-1,0,4,-1,1,-1
47,1,-1,-1,-1,1,-1,-1,4,4,3,-1,-1,2,2,2,0
48,-1,-1,3,2,-1,3,-1,1,-1,2,0,-1,-1,1,-1,3
49,-1,4,-1,1,3,2,-1,-1,2,0,3,2,4,4,3,4
50,1,4,-1,2,-1,0,1,3,0,3,0,2,-1,3,-1,-1
51,4,2,-1,2,-1,1,0,3,-1,1,0,-1,-1,0,0,-1
52,3,0,3,2,1,3,2,-1,-1,-1,-1,2,4,1,-1,4
53,3,2,2,-1,-1,4,1,2,3,3,1,-1,0,-1,1,-1
54,2,0,-1,4,4,2,-1,3,-1,-1,2,-1,4,0,-1,-1
55,-1,3,1,-1,-1,2,-1,2,-1,2,1,4,-1,-1,-1,3
56,1,0,0,-1,-1,4,3,2,0,4,-1,4,0,-1,-1,1
57,3,4,-1,4,-1,-1,-1,0,2,2,-1,3,1,4,-1,0
58,-1,4,-1,3,1,4,1,1,-1,0,-1,0,1,1,1,1
59,-1,-1,2,3,-1,0,0,-1,-1,0,2,4,-1,4,3,1
