,0,1,2,3,4,5
0,18,23,21,19,23,23
1,20,21,22,21,25,24
2,22,24,20,24,18,23
3,18,25,23,20,21,21
4,22,24,22,21,19,23
5,20,24,21,25,19,22
6,20,24,22,23,24,25
7,24,25,21,23,18,19
8,22,24,25,19,18,18
9,21,18,18,19,22,21
10,21,20,20,22,25,22
11,20,19,23,24,19,18
12,25,18,19,24,18,22
13,22,18,23,24,21,21
14,25,18,25,25,22,25
15,19,18,21,22,18,18
16,24,22,22,19,21,20
17,19,23,25,20,19,19
18,25,22,19,23,25,20
19,20,20,21,24,24,18
20,18,25,25,21,22,24
21,18,23,22,24,20,22
22,23,21,25,22,25,20
23,22,22,19,19,21,18
24,20,22,21,25,20,21
25,24,18,22,22,18,23
26,20,21,18,21,20,24
27,19,18,24,20,18,18
28,18,20,25,22,24,18
29,19,20,25,24,22,23
30,24,20,18,21,24,21
31,19,21,20,21,25,23
32,18,23,23,19,19,22
33,19,23,24,20,22,20
34,21,24,18,21,23,19
35,19,19,18,21,20,24
36,24,21,20,18,19,20
37,23,19,20,25,19,24
38,19,25,22,23,24,25
39,21,25,25,20,22,21
40,21,22,21,19,20,21
41,22,25,22,24,21,21
42,23,19,22,19,22,19
43,20,18,22,18,19,25
44,19,20,20,20,18,25
45,21,18,22,18,21,20
46,25,21,18,21,23,23
47,21,21,23,25,20,22
48,19,18,20,22,23,19
49,22,22,18,20,23,19
50,22,22,25,21,21,19
51,18,25,20,25,23,22
52,18,21,19,25,21,21
53,25,23,18,23,24,21
54,19,25,19,23,24,21
55,19,23,20,19,18,18
56,19,20,24,19,25,20
57,19,21,18,19,25,23
58,22,21,18,24,23,19
59,18,25,23,19,22,23
